candidate_id,complete_name,name,surname,parti,annonce_candidature,retrait_candidature,second_round
EP,Édouard Philippe,Édouard,Philippe,Horizon,2024-09-03,,
JB,Jordan Bardella,Jordan,Bardella,Rassemblement National,,2026-07-07,
MLP,Marine Le Pen,Marine,Le Pen,Rassemblement National,2026-07-07,,
RG,Raphaël Glucksmann,Raphaël,Glucksmann,Place Publique,2026-08-23,,
FH,François Hollande,François,Hollande,Parti Socialiste,,,
FR,François Ruffin,François,Ruffin,La France Insoumise,2025-04-01,,
NS,Nicolas Sarkozy,Nicolas,Sarkozy,Les Républicains,,,
FRo,Fabien Roussel,Fabien,Roussel,Parti Communiste Français,2026-09-06,,
GD,Gérald Darmanin,Gérald,Darmanin,,2026-08-17,2026-08-25,
BLM,Bruno Le Maire,Bruno,Le Maire,,,,
DV,Dominique de Villepin,Dominique,de Villepin,,,,
FB,François Bayrou,François,Bayrou,Mouvement Démocrate,,2026-03-06,
MM,Marion Maréchal,Marion,Maréchal,,,,
XB,Xavier Bertrand,Xavier,Bertrand,Les Républicains,2024-02-03,,
EDM,Éric Dupond-Moretti,Éric,Dupond-Moretti,,,,
OF,Olivier Faure,Olivier,Faure,Parti Socialiste,2026-08-30,,
RD,Rachida Dati,Rachida,Dati,Les Républicains,,,
EC,Éric Ciotti,Éric,Ciotti,Union des droites pour la République,,,
BC,Bernard Cazeneuve,Bernard,Cazeneuve,Parti Socialiste,2026-07-16,,
GL,Gérard Larcher,Gérard,Larcher,Les Républicains,,,
YJ,Yannick Jadot,Yannick,Jadot,Europe Écologie Les Verts,,,
MT,Marine Tondelier,Marine,Tondelier,Europe Écologie Les Verts,2025-10-22,,
LW,Laurent Wauquiez,Laurent,Wauquiez,Les Républicains,,2026-07-01,
LB,Laurent Berger,Laurent,Berger,,,,
YBP,Yaël Braun-Pivet,Yaël,Braun-Pivet,,,,
CA,Clémentine Autain,Clémentine,Autain,L’après,,2026-07-11,
JLM,Jean-Luc Mélenchon,Jean-Luc,Mélenchon,La France Insoumise,2026-05-03,,
JYLD,Jean-Yves Le Drian,Jean-Yves,Le Drian,,,,
SR,Sandrine Rousseau,Sandrine,Rousseau,Europe Écologie Les Verts,,2026-06-30,
EZ,Éric Zemmour,Éric,Zemmour,Reconquête,,,
MB,Manuel Bompard,Manuel,Bompard,La France Insoumise,,,
MBa,Michel Barnier,Michel,Barnier,Les Républicains,,,
AH,Anne Hidalgo,Anne,Hidalgo,Parti Socialiste,,,
MP,Mathilde Panot,Mathilde,Panot,La France Insoumise,,,
AOC,Amélie Oudéa-Castéra,Amélie,Oudéa-Castéra,,,,
GA,Gabriel Attal,Gabriel,Attal,Renaissance,2026-05-22,,
BR,Bruno Retailleau,Bruno,Retailleau,Les Républicains,2026-04-19,,
DL,David Lisnard,David,Lisnard,Nouvelle Énergie,2026-03-31,,
JC,Jean Castex,Jean,Castex,,,,
CV,Catherine Vautrin,Catherine,Vautrin,,,,
SL,Sébastien Lecornu,Sébastien,Lecornu,Renaissance,,,
VP,Valérie Pécresse,Valérie,Pécresse,Les Républicains,,,
EB,Elisabeth Borne,Elisabeth,Borne,Renaissance,,,
EL,Éric Lombard,Éric,Lombard,,,,
BV,Boris Vallaud,Boris,Vallaud,Parti Socialiste,,,
MV,Manuel Valls,Manuel,Valls,,,,
AdM,Amélie de Montchalin,Amélie,de Montchalin,,,,
AB,Aurore Bergé,Aurore,Bergé,Horizons,,,
SK,Sarah Knafo,Sarah,Knafo,Reconquête,,,
NDA,Nicolas Dupont-Aignan,Nicolas,Dupont-Aignan,Debout la France,2025-03-08,,
FRe,François Rebsamen,François,Rebsamen,,,,
SRo,Ségolène Royal,Ségolène,Royal,,2026-07-10,,
FXB,François-Xavier Bellamy,François-Xavier,Bellamy,Les Républicains,,,
RM,Robert Ménard,Robert,Ménard,,,,
HM,Hervé Morin,Hervé,Morin,Les Centristes,,,
EM,Emmanuel Macron,Emmanuel,Macron,,,,
CE,Christian Estrosi,Christian,Estrosi,,,,
APR,Agnès Pannier-Runacher,Agnès,Pannier-Runacher,Horizon,,,
JNB,Jean-Noël Barrot,Jean-Noël,Barrot,Mouvement démocrate,,,
JPT,Jean-Philippe Tanguy,Jean-Philippe,Tanguy,Rassemblement National,,,
LSM,Laurent Saint-Martin,Laurent,Saint-Martin,Renaissance,,,
FBa,François Barouin,François,Barouin,Les Républicains,,,
RH,Rima Hassan,Rima,Hassan,La France Insoumise,,,
NA,Nathalie Arthaud,Nathalie,Arthaud,Lutte Ouvrière,2025-12-08,,
PP,Philippe Poutou,Philippe,Poutou,Nouveau Parti Anticapitaliste,,2025-04-10,
PdV,Philippe de Villiers,Philippe,de Villiers,,,,
KB,Karim Bouamrane,Karim,Bouamrane,Parti Socialiste,2026-06-09,,
SB,Sébastien Bonnal,Sébastien,Bonnal,,,,
JL,Jean Lassalle,Jean,Lassalle,Résistons !,,,
CD,Carole Delga,Carole,Delga,Parti Socialiste,,,
